customerID,gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
0002-ORFBO,Female,9,65.6,593.3,One year,DSL,Mailed check,No
0003-MKNFE,Male,9,59.9,542.4,Month-to-month,DSL,Mailed check,No
0004-TLHLJ,Male,4,73.9,280.85,Month-to-month,Fiber optic,Electronic check,Yes
0011-IGKFF,Male,13,98,1237.85,Month-to-month,Fiber optic,Electronic check,Yes
0013-EXCHZ,Female,3,83.9,267.4,Month-to-month,Fiber optic,Mailed check,Yes
0013-MHZWF,Female,9,69.4,571.45,Month-to-month,DSL,Credit card (automatic),No
0013-SMEOE,Female,71,109.7,7904.25,Two year,Fiber optic,Bank transfer (automatic),No
0014-BMAQU,Male,63,84.65,5377.8,Two year,Fiber optic,Credit card (automatic),No
0015-UOCOJ,Female,7,48.2,340.35,Month-to-month,DSL,Electronic check,No
0016-QLJIS,Female,65,90.45,5957.9,Two year,DSL,Mailed check,No
0017-DINOC,Male,54,45.2,2460.55,Two year,DSL,Credit card (automatic),No
0017-IUDMW,Female,72,116.8,8456.75,Two year,Fiber optic,Credit card (automatic),No
0018-NYROU,Female,5,68.95,351.5,Month-to-month,Fiber optic,Electronic check,No
0019-EFAEP,Female,72,101.3,7261.25,Two year,Fiber optic,Bank transfer (automatic),No
0019-GFNTW,Female,56,45.05,2560.1,Two year,DSL,Bank transfer (automatic),No
0020-INWCK,Female,71,95.75,6849.4,Two year,Fiber optic,Credit card (automatic),No
0020-JDNXP,Female,34,61.25,1993.2,One year,DSL,Mailed check,No
0021-IKXGC,Female,1,72.1,72.1,Month-to-month,Fiber optic,Electronic check,No
0022-TCJCI,Male,45,62.7,2791.5,One year,DSL,Credit card (automatic),Yes
0023-HGHWL,Male,1,25.1,25.1,Month-to-month,DSL,Electronic check,Yes
0023-UYUPN,Female,50,25.2,1306.3,One year,No,Electronic check,No
0023-XUOPT,Female,13,94.1,1215.6,Month-to-month,Fiber optic,Electronic check,Yes
0027-KWYKW,Female,23,83.75,1849.95,Month-to-month,Fiber optic,Electronic check,No
0030-FNXPP,Female,3,19.85,57.2,Month-to-month,No,Mailed check,No
0031-PVLZI,Female,4,20.35,76.35,Month-to-month,No,Mailed check,Yes
0032-PGELS,Female,1,30.5,30.5,Month-to-month,DSL,Bank transfer (automatic),Yes
0036-IHMOT,Female,55,103.7,5656.75,One year,Fiber optic,Bank transfer (automatic),No
0040-HALCW,Male,54,20.4,1090.6,Two year,No,Credit card (automatic),No
0042-JVWOJ,Male,26,19.6,471.85,One year,No,Bank transfer (automatic),No
0042-RLHYP,Female,69,19.7,1396.9,Two year,No,Bank transfer (automatic),No
0048-LUMLS,Male,37,91.2,3247.55,One year,Fiber optic,Credit card (automatic),No
0048-PIHNL,Female,49,20.45,900.9,One year,No,Bank transfer (automatic),No
0052-DCKON,Male,66,115.8,7942.15,One year,Fiber optic,Bank transfer (automatic),No
0052-YNYOT,Female,67,20.55,1343.4,One year,No,Electronic check,No
0056-EPFBG,Male,20,39.4,825.4,Two year,DSL,Credit card (automatic),No
0057-QBUQH,Female,43,25.1,1070.15,Two year,No,Electronic check,No
0058-EVZWM,Female,55,89.8,4959.6,Month-to-month,Fiber optic,Bank transfer (automatic),No
0060-FUALY,Female,59,94.75,5597.65,Month-to-month,Fiber optic,Electronic check,No
0064-SUDOG,Female,12,20.3,224.5,Two year,No,Bank transfer (automatic),No
0064-YIJGF,Male,27,75.75,1929,Month-to-month,Fiber optic,Bank transfer (automatic),No
0067-DKWBL,Male,2,49.25,91.1,Month-to-month,DSL,Electronic check,Yes
0068-FIGTF,Female,27,78.2,2078.95,One year,DSL,Mailed check,No
0071-NDAFP,Male,25,25.5,630.6,Two year,No,Credit card (automatic),No
0074-HDKDG,Male,25,61.6,1611,One year,DSL,Bank transfer (automatic),No
0076-LVEPS,Male,29,45,1242.45,Month-to-month,DSL,Mailed check,No
0078-XZMHT,Male,72,85.15,6316.2,Two year,DSL,Bank transfer (automatic),No
0080-EMYVY,Female,14,51.45,727.85,One year,DSL,Credit card (automatic),No
0080-OROZO,Female,35,99.25,3532,One year,Fiber optic,Electronic check,No
0082-LDZUE,Male,1,44.3,44.3,Month-to-month,DSL,Mailed check,No
0082-OQIQY,Male,29,94.2,2607.6,Month-to-month,Fiber optic,Electronic check,No
0083-PIVIK,Male,64,81.25,5567.55,One year,DSL,Electronic check,No
0089-IIQKO,Female,39,99.95,3767.4,Month-to-month,Fiber optic,Credit card (automatic),No
0093-EXYQL,Female,40,91.55,3673.6,Month-to-month,Fiber optic,Electronic check,No
0093-XWZFY,Male,40,104.5,4036.85,Month-to-month,Fiber optic,Credit card (automatic),Yes
0094-OIFMO,Female,11,95,1120.3,Month-to-month,Fiber optic,Electronic check,Yes
0096-BXERS,Female,6,50.35,314.55,Month-to-month,DSL,Electronic check,No
0096-FCPUF,Male,30,64.5,1888.45,Month-to-month,DSL,Mailed check,No
0098-BOWSO,Male,27,19.4,529.8,Month-to-month,No,Electronic check,No
0100-DUVFC,Male,70,104.8,7308.95,One year,Fiber optic,Electronic check,No
0103-CSITQ,Female,57,109.4,6252.7,One year,Fiber optic,Bank transfer (automatic),No
0104-PPXDV,Male,58,50.3,2878.55,One year,DSL,Credit card (automatic),No
0106-GHRQR,Male,16,71.4,1212.1,Month-to-month,DSL,Bank transfer (automatic),No
0106-UGRDO,Female,69,116,8182.85,Two year,Fiber optic,Electronic check,No
0107-WESLM,Male,1,19.85,19.85,Month-to-month,No,Electronic check,Yes
0107-YHINA,Male,1,99.75,99.75,Month-to-month,Fiber optic,Electronic check,Yes
0111-KLBQG,Male,32,93.95,2861.45,Month-to-month,Fiber optic,Mailed check,No
0112-QAWRZ,Male,16,90.8,1442.2,Month-to-month,Fiber optic,Bank transfer (automatic),No
0112-QWPNC,Male,49,84.35,4059.35,One year,DSL,Electronic check,Yes
0114-IGABW,Female,71,58.25,4145.9,Two year,DSL,Bank transfer (automatic),No
0114-PEGZZ,Female,33,107.55,3645.5,Month-to-month,Fiber optic,Electronic check,No
0114-RSRRW,Female,10,19.95,187.75,Month-to-month,No,Bank transfer (automatic),No
0115-TFERT,Male,21,111.2,2317.1,Month-to-month,Fiber optic,Electronic check,Yes
0117-LFRMW,Male,37,40.2,1448.8,Month-to-month,DSL,Bank transfer (automatic),Yes
0118-JPNOY,Female,26,85.8,2193.65,Month-to-month,Fiber optic,Credit card (automatic),No
0121-SNYRK,Male,50,35.4,1748.9,One year,DSL,Mailed check,No
0122-OAHPZ,Female,7,73.85,511.25,Month-to-month,Fiber optic,Electronic check,Yes
0123-CRBRT,Female,61,88.1,5526.75,Two year,DSL,Mailed check,No
0125-LZQXK,Male,15,101.35,1553.95,Month-to-month,Fiber optic,Electronic check,Yes
0128-MKWSG,Female,26,45.8,1147,Month-to-month,DSL,Mailed check,No
0129-KPTWJ,Male,72,94.65,6747.35,Month-to-month,Fiber optic,Electronic check,No
0129-QMPDR,Male,44,20.5,865.05,One year,No,Bank transfer (automatic),No
0130-SXOUN,Male,66,89.4,5976.9,Month-to-month,Fiber optic,Credit card (automatic),No
0133-BMFZO,Female,2,86.25,181.65,Month-to-month,Fiber optic,Electronic check,Yes
0134-XWXCE,Female,44,74.85,3268.05,One year,DSL,Bank transfer (automatic),No
0135-NMXAP,Female,12,89.75,1052.4,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0136-IFMYD,Male,69,109.95,7634.25,Two year,Fiber optic,Electronic check,No
0137-OCGAB,Female,1,80.2,80.2,Month-to-month,Fiber optic,Mailed check,Yes
0137-UDEUO,Female,3,19.85,63.75,Month-to-month,No,Mailed check,Yes
0139-IVFJG,Female,2,90.35,190.5,Month-to-month,Fiber optic,Electronic check,No
0141-YEAYS,Female,27,86.45,2401.05,Month-to-month,Fiber optic,Bank transfer (automatic),No
0142-GVYSN,Male,26,20.3,511.25,Month-to-month,No,Electronic check,No
0147-ESWWR,Female,39,101.25,3949.15,Month-to-month,Fiber optic,Electronic check,No
0148-DCDOS,Male,25,94.7,2362.1,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0151-ONTOV,Female,1,70.9,70.9,Month-to-month,Fiber optic,Mailed check,Yes
0156-FVPTA,Male,22,54.2,1152.7,Month-to-month,DSL,Electronic check,Yes
0164-APGRB,Female,72,114.9,8496.7,Two year,Fiber optic,Electronic check,No
0164-XAIRP,Female,24,19.55,470.2,Two year,No,Bank transfer (automatic),No
0168-XZKBB,Female,19,86.85,1564.4,Month-to-month,Fiber optic,Electronic check,No
0174-QRVVY,Male,71,25.35,1847.55,Two year,No,Credit card (automatic),No
0177-PXBAT,Male,33,109.9,3694.7,Month-to-month,Fiber optic,Bank transfer (automatic),No
0178-CIIKR,Female,3,19.95,58,Month-to-month,No,Mailed check,No
0178-SZBHO,Male,47,87.2,4017.45,Month-to-month,Fiber optic,Electronic check,No
0181-RITDD,Male,62,108.15,6825.65,Two year,Fiber optic,Mailed check,No
0186-CAERR,Male,71,116.3,8309.55,One year,Fiber optic,Bank transfer (automatic),No
0187-QSXOE,Male,7,89,605.45,Month-to-month,Fiber optic,Electronic check,No
0187-WZNAB,Female,27,74.4,1972.35,Month-to-month,Fiber optic,Mailed check,No
0188-GWFLE,Male,2,20.05,33.7,Month-to-month,No,Mailed check,No
0191-EQUUH,Female,25,35.05,844.45,Two year,DSL,Bank transfer (automatic),No
0191-ZHSKZ,Male,30,74.75,2111.3,Month-to-month,DSL,Electronic check,No
0193-ESZXP,Female,58,105.5,6205.5,One year,Fiber optic,Credit card (automatic),Yes
0195-IESCP,Male,10,85.25,855.3,Month-to-month,Fiber optic,Electronic check,Yes
0196-JTUQI,Female,9,75.2,633.85,Month-to-month,Fiber optic,Credit card (automatic),No
0196-VULGZ,Female,6,84.35,474.9,Month-to-month,Fiber optic,Electronic check,Yes
0197-PNKNK,Female,69,84.45,5848.6,One year,Fiber optic,Bank transfer (automatic),No
0201-MIBOL,Female,66,102.4,6471.85,Two year,Fiber optic,Bank transfer (automatic),No
0201-OAMXR,Female,70,115.55,8127.6,One year,Fiber optic,Credit card (automatic),Yes
0203-HHYIJ,Male,25,25.3,676.35,One year,No,Bank transfer (automatic),Yes
0206-OYVOC,Female,46,19.25,864.2,Two year,No,Mailed check,No
0206-TBWLC,Female,54,114.65,6049.5,One year,Fiber optic,Mailed check,No
0207-MDKNV,Female,15,105.1,1582.75,Month-to-month,Fiber optic,Electronic check,Yes
0208-BPQEJ,Female,12,19.4,198.1,Month-to-month,No,Bank transfer (automatic),No
0212-ISBBF,Female,22,50.35,1098.85,Month-to-month,DSL,Electronic check,No
0214-JHPFW,Female,70,57.8,4039.3,Two year,DSL,Bank transfer (automatic),No
0215-BQKGS,Male,30,84.3,2438.6,Month-to-month,Fiber optic,Credit card (automatic),No
